"n_models","resample_alpha","max_depth","eff_trees","nrounds","lambda","colsample_bytree","l1_alpha","fold","nt","oof_mae_pls","oof_mae_xgb","in_fold_mae_pls","in_fold_mae_xgb"
20,1,7,200,500,1,0.5,0,3,5,Inf,0.414335640405233,Inf,0.0375566488937325
20,1,3,200,500,0,1,0,3,5,Inf,0.41188732077296,Inf,0.0373130285636687
20,1,3,200,500,1,1,0,3,5,Inf,0.415298316994539,Inf,0.0368863771172772
20,1,3,200,500,0,0.5,0,3,5,Inf,0.412853337629483,Inf,0.0373968344975573
20,1,3,200,500,1,0.5,0,3,5,Inf,0.412550276747117,Inf,0.0367988342531258
20,1,7,50,500,0,1,0,3,5,0.364423076923077,0.439283830340092,0.0173160173160174,0.154771974366006
20,1,7,50,500,1,1,0,3,5,0.365384615384615,0.438611092762305,0.0146705146705146,0.151691490993757
20,1,7,50,500,0,0.5,0,3,5,0.365384615384615,0.437770399542955,0.0163540163540162,0.15232476333175
20,1,7,50,500,1,0.5,0,3,5,0.367307692307692,0.440203483803914,0.0170755170755171,0.150834461050345
20,1,3,50,500,0,1,0,3,5,0.376923076923077,0.438925048009707,0.0139490139490139,0.150972308147521
20,1,3,50,500,1,1,0,3,5,0.371153846153846,0.440228654054495,0.0177970177970178,0.152526460506986
20,1,3,50,500,0,0.5,0,3,5,0.373076923076923,0.442209237733713,0.0173160173160173,0.154097919426267
20,1,3,50,500,1,0.5,0,3,5,Inf,0.438493380294396,Inf,0.150820386217671
20,0.1,7,200,500,0,1,0,4,5,0.390384615384615,0.468073147684336,0.133477633477634,0.277334098752271
20,0.1,7,200,500,1,1,0,4,5,0.399038461538461,0.466577602040309,0.126984126984127,0.278605042572145
20,0.1,7,200,500,0,0.5,0,4,5,0.388461538461539,0.466242985794177,0.136844636844637,0.27832273554779
20,0.1,7,200,500,1,0.5,0,4,5,0.402884615384615,0.466075805471494,0.130832130832131,0.277194145314679
20,0.1,3,200,500,0,1,0,4,5,0.385576923076923,0.463433363494965,0.125060125060125,0.277339126993223
20,0.1,3,200,500,1,1,0,4,5,0.393269230769231,0.468315854485218,0.131072631072631,0.27930016515919
20,0.1,3,200,500,0,0.5,0,4,5,0.405769230769231,0.469916397367533,0.124819624819625,0.278606893985876
20,0.1,3,200,500,1,0.5,0,4,5,0.403846153846154,0.46249866142869,0.129148629148629,0.275800346146988
20,0.1,7,50,500,0,1,0,4,5,0.421153846153846,0.484934130666348,0.201058201058201,0.33381336656197
20,0.1,7,50,500,1,1,0,4,5,0.403846153846154,0.479714907659934,0.187349687349687,0.329698100429478
20,0.1,7,50,500,0,0.5,0,4,5,0.401923076923077,0.476899002480965,0.197210197210197,0.333195371542371
20,0.1,7,50,500,1,0.5,0,4,5,0.400961538461538,0.478489035024093,0.203463203463203,0.332443688542525
20,0.1,3,50,500,0,1,0,4,5,0.416346153846154,0.478963228418277,0.199374699374699,0.330084709914158
20,0.1,3,50,500,1,1,0,4,5,0.409615384615385,0.48307266331636,0.198412698412698,0.332183445285524
20,0.1,3,50,500,0,0.5,0,4,5,0.415384615384615,0.482653576800456,0.198653198653199,0.332236038442986
20,0.1,3,50,500,1,0.5,0,4,5,0.415384615384615,0.480293808430433,0.199134199134199,0.333506022195165
20,0.2,7,200,500,0,1,0,4,5,0.370192307692308,0.446518786125458,0.0423280423280422,0.188994153165771
20,0.2,7,200,500,1,1,0,4,5,0.383653846153846,0.445479666338517,0.0476190476190477,0.189754428004576
20,0.2,7,200,500,0,0.5,0,4,5,0.3875,0.44370882054361,0.0447330447330449,0.187635840381666
20,0.2,7,200,500,1,0.5,0,4,5,0.369230769230769,0.449707407515783,0.0379990379990381,0.188971435722679
20,0.2,3,200,500,0,1,0,4,5,Inf,0.442836889521434,Inf,0.187845311223916
20,0.2,3,200,500,1,1,0,4,5,0.371153846153846,0.446323607162787,0.0432900432900432,0.190416310990642
20,0.2,3,200,500,0,0.5,0,4,5,0.381730769230769,0.447659268883558,0.0389610389610387,0.188597054436208
20,0.2,3,200,500,1,0.5,0,4,5,0.377884615384615,0.446091150813378,0.0365560365560364,0.187099165507037
20,0.2,7,50,500,0,1,0,4,5,0.381730769230769,0.462146550898369,0.111592111592112,0.266976631028885
20,0.2,7,50,500,1,1,0,4,5,0.400961538461538,0.460950748691192,0.111592111592112,0.265448487882949
20,0.2,7,50,500,0,0.5,0,4,5,0.389423076923077,0.46108420384618,0.116161616161616,0.266724397899326
20,0.2,7,50,500,1,0.5,0,4,5,0.394230769230769,0.463908571944787,0.111351611351611,0.26618996268571
20,0.2,3,50,500,0,1,0,4,5,0.397115384615385,0.464629479119411,0.113516113516114,0.26511850832402
20,0.2,3,50,500,1,1,0,4,5,0.392307692307692,0.461713274889267,0.115199615199615,0.265017933447582
20,0.2,3,50,500,0,0.5,0,4,5,0.384615384615384,0.464386044419729,0.117364117364117,0.26863908075323
20,0.2,3,50,500,1,0.5,0,4,5,0.380769230769231,0.464507447481155,0.118807118807119,0.267481631049174
20,1,7,200,500,0,1,0,4,5,Inf,0.414583381746824,Inf,0.0370199215389204
20,1,7,200,500,1,1,0,4,5,Inf,0.416266573289266,Inf,0.036805524546232
20,1,7,200,500,0,0.5,0,4,5,Inf,0.415225551873445,Inf,0.0367598961872112
20,1,7,200,500,1,0.5,0,4,5,Inf,0.413607013265674,Inf,0.0372257681177349
20,1,3,200,500,0,1,0,4,5,Inf,0.413642998268971,Inf,0.037692431775121
20,1,3,200,500,1,1,0,4,5,Inf,0.416405849112914,Inf,0.0376164038976034
20,1,3,200,500,0,0.5,0,4,5,Inf,0.417793795558122,Inf,0.0364268233679762
20,1,3,200,500,1,0.5,0,4,5,Inf,0.420289244743494,Inf,0.0367425544523401
20,1,7,50,500,0,1,0,4,5,0.371153846153846,0.43926369538674,0.0173160173160174,0.150237922011344
20,1,7,50,500,1,1,0,4,5,Inf,0.436833272117835,Inf,0.150373473214438
20,1,7,50,500,0,0.5,0,4,5,0.366346153846154,0.440911117196083,0.0187590187590188,0.151046470345185
20,1,7,50,500,1,0.5,0,4,5,0.383653846153846,0.441177629232407,0.0149110149110149,0.150871376907556
20,1,3,50,500,0,1,0,4,5,0.375,0.438013492387075,0.0173160173160173,0.150083586999348
20,1,3,50,500,1,1,0,4,5,Inf,0.439096517196068,Inf,0.149516401312683
20,1,3,50,500,0,0.5,0,4,5,0.366346153846154,0.44180122378927,0.0204425204425206,0.151645464983739
20,1,3,50,500,1,0.5,0,4,5,Inf,0.440139246319349,Inf,0.150613442606626
20,0.1,7,200,500,0,1,0,5,5,0.41907514450867,0.4731735088692,0.133173076923077,0.276824526199355
20,0.1,7,200,500,1,1,0,5,5,0.418111753371869,0.473135764647081,0.126682692307692,0.275660511730955
20,0.1,7,200,500,0,0.5,0,5,5,0.409441233140655,0.472839936378604,0.125,0.276661562661712
20,0.1,7,200,500,1,0.5,0,5,5,0.403660886319846,0.469891487357704,0.133173076923077,0.275781850700195
20,0.1,3,200,500,0,1,0,5,5,0.426782273603083,0.475650895066803,0.136057692307692,0.27791433354983
20,0.1,3,200,500,1,1,0,5,5,0.41233140655106,0.474031748006799,0.131971153846154,0.277491231486201
20,0.1,3,200,500,0,0.5,0,5,5,0.420038535645472,0.472885504359225,0.133653846153847,0.27740924268961
20,0.1,3,200,500,1,0.5,0,5,5,0.409441233140655,0.477226890660894,0.128125,0.278148495913125
20,0.1,7,50,500,0,1,0,5,5,0.415221579961464,0.484663179970431,0.205288461538461,0.331666066543414
20,0.1,7,50,500,1,1,0,5,5,0.432562620423892,0.486055791481382,0.195913461538462,0.331922639152751
20,0.1,7,50,500,0,0.5,0,5,5,0.415221579961464,0.484890155422435,0.197596153846154,0.330371550103793
20,0.1,7,50,500,1,0.5,0,5,5,0.421001926782273,0.48335115585713,0.195913461538462,0.331139278873228
20,0.1,3,50,500,0,1,0,5,5,0.421001926782273,0.490214578356587,0.198557692307692,0.334401963347426
20,0.1,3,50,500,1,1,0,5,5,0.430635838150289,0.487314923018619,0.196153846153846,0.332393645816124
20,0.1,3,50,500,0,0.5,0,5,5,0.432562620423892,0.487683635111719,0.205048076923077,0.332481741870825
20,0.1,3,50,500,1,0.5,0,5,5,0.433526011560693,0.48455090560665,0.209134615384615,0.332214245578417
20,0.2,7,200,500,0,1,0,5,5,0.394990366088632,0.45229098475278,0.0377403846153846,0.187371443653336
20,0.2,7,200,500,1,1,0,5,5,0.392100192678227,0.451748502093703,0.0389423076923077,0.18632415154519
20,0.2,7,200,500,0,0.5,0,5,5,0.405587668593449,0.455125853149418,0.0396634615384615,0.189128468569655
20,0.2,7,200,500,1,0.5,0,5,5,0.388246628131021,0.455359093554907,0.0423076923076924,0.187957845175496
20,0.2,3,200,500,0,1,0,5,5,0.393063583815029,0.453587942500105,0.0427884615384616,0.18646080654401
20,0.2,3,200,500,1,1,0,5,5,0.394990366088632,0.454470222074402,0.0413461538461539,0.187400823966242
20,0.2,3,200,500,0,0.5,0,5,5,0.393063583815029,0.45069535195483,0.0423076923076924,0.187101998248926
20,0.2,3,200,500,1,0.5,0,5,5,0.401734104046243,0.449484284856646,0.0387019230769231,0.185628481584673
20,0.2,7,50,500,0,1,0,5,5,0.400770712909441,0.464750161198522,0.119471153846154,0.265610384290608
20,0.2,7,50,500,1,1,0,5,5,0.39980732177264,0.465150555388317,0.114903846153846,0.264638182174128
20,0.2,7,50,500,0,0.5,0,5,5,0.395953757225434,0.464875559678197,0.111778846153846,0.263923182647962
20,0.2,7,50,500,1,0.5,0,5,5,0.418111753371869,0.473801842119423,0.124519230769231,0.266335655725919
20,0.2,3,50,500,0,1,0,5,5,0.402697495183044,0.465625662105391,0.113461538461539,0.266028946543542
20,0.2,3,50,500,1,1,0,5,5,0.409441233140655,0.469646804227076,0.118509615384615,0.267036481450957
20,0.2,3,50,500,0,0.5,0,5,5,0.394026974951831,0.470985895441217,0.115144230769231,0.264623211570657
20,0.2,3,50,500,1,0.5,0,5,5,0.40655105973025,0.469112122736455,0.117788461538461,0.267620769489843
20,1,7,200,500,0,1,0,5,5,Inf,0.425411127895289,Inf,0.0379123121012862
20,1,7,200,500,1,1,0,5,5,Inf,0.426101943431332,Inf,0.0368523253901646
20,1,7,200,500,0,0.5,0,5,5,Inf,0.424882728068126,Inf,0.0368714196979999
20,1,7,200,500,1,0.5,0,5,5,Inf,0.424838164213306,Inf,0.0363384619412514
20,1,3,200,500,0,1,0,5,5,Inf,0.424639053599683,Inf,0.0364829290830172
20,1,3,200,500,1,1,0,5,5,Inf,0.426301879896594,Inf,0.0370158228364129
20,1,3,200,500,0,0.5,0,5,5,Inf,0.424277543516288,Inf,0.0363732587058957
20,1,3,200,500,1,0.5,0,5,5,Inf,0.424640036915538,Inf,0.0366563138394402
20,1,7,50,500,0,1,0,5,5,0.395953757225434,0.446486123345491,0.0168269230769231,0.150206016769203
20,1,7,50,500,1,1,0,5,5,0.392100192678227,0.449164201368027,0.0139423076923078,0.149230414904081
20,1,7,50,500,0,0.5,0,5,5,0.396917148362235,0.449857435084032,0.0189903846153847,0.151659805069749
20,1,7,50,500,1,0.5,0,5,5,0.38728323699422,0.445841180704003,0.0175480769230768,0.15072115151928
20,1,3,50,500,0,1,0,5,5,0.391136801541426,0.445852675006109,0.0158653846153846,0.150466671629021
20,1,3,50,500,1,1,0,5,5,0.395953757225434,0.448213573779215,0.0173076923076923,0.150598248059933
20,1,3,50,500,0,0.5,0,5,5,0.391136801541426,0.446212625434633,0.0189903846153847,0.151490016158384
20,1,3,50,500,1,0.5,0,5,5,0.394026974951831,0.446935379539611,0.0177884615384616,0.150594586838896
